Item,Answer_resnet18,Answer_resnet34,Answer_resnet50,Answer_resnet101,Answer_resnet152,Answer_densenet121,Answer_densenet161,Answer_densenet169,Answer_densenet201,Answer_efficientnet_b0,Answer_efficientnet_b1,Answer_efficientnet_b2,Answer_efficientnet_b3,Answer_efficientnet_b4,Answer_vgg11,Answer_vgg13,Answer_vgg16,Answer_vgg19,Answer_mobilenet_v2,Answer_mobilenet_v3_large,Answer_mobilenet_v3_small,Answer_alexnet,Answer_shufflenet_v2_x0_5,Answer_shufflenet_v2_x1_0,Answer_squeezenet1_0,Answer_squeezenet1_1,Answer_inception_v3,True Label
n01641577\0.005290_snowmobile _ snowmobile_0.71322095.jpg,snowmobile,throne,rule,rule,European fire salamander,European fire salamander,cockroach,tailed frog,cockroach,tailed frog,bullfrog,cockroach,tailed frog,bullfrog,scorpion,rhinoceros beetle,cowboy boot,rhinoceros beetle,scorpion,bullfrog,cockroach,sewing machine,abaya,chocolate sauce,hook,electric guitar,tailed frog,snowmobile 
n01641577\0.005392_chameleon _ scorpion_0.7120173.jpg,mouse,scorpion,tailed frog,tree frog,tree frog,purse,holster,mouse,mouse,mailbag,scorpion,scorpion,punching bag,scorpion,necklace,seat belt,corkscrew,mailbag,purse,purse,shield,fountain pen,mouse,pickelhaube,shield,wok,scorpion,chameleon 
n01641577\0.006515_fox squirrel _ lion_0.34135142.jpg,Walker hound,cougar,tailed frog,mortar,cougar,mongoose,basset,plastic bag,fox squirrel,fox squirrel,green lizard,squirrel monkey,bolete,conch,polecat,weasel,cougar,cougar,lion,bolete,barracouta,barracouta,barracouta,stingray,hen,wood rabbit,bolete,fox squirrel 
n01641577\0.006867_dragonfly _ dragonfly_0.977791.jpg,damselfly,terrapin,tailed frog,tailed frog,bullfrog,damselfly,dragonfly,damselfly,damselfly,terrapin,damselfly,damselfly,American alligator,water snake,damselfly,dragonfly,dragonfly,gar,dragonfly,dragonfly,tree frog,damselfly,damselfly,damselfly,damselfly,indigo bunting,dragonfly,dragonfly 
n01641577\0.007274_agama _ agama_0.44702503.jpg,tailed frog,rock crab,tailed frog,tailed frog,tailed frog,banded gecko,tailed frog,tailed frog,banded gecko,tailed frog,starfish,banded gecko,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,bluetick,banded gecko,tailed frog,tailed frog,fiddler crab,rock crab,Irish water spaniel,otter,loggerhead,tailed frog,agama 
n01641577\0.007333_starfish _ starfish_0.8451155.jpg,solar dish,paper towel,scorpion,snorkel,grasshopper,tick,paper towel,pelican,ski,tick,swimming trunks,alp,sea lion,ski,tick,tick,weevil,weevil,parachute,scorpion,ant,warplane,tick,tick,goose,tick,balance beam,starfish 
n01641577\0.007472_skunk _ skunk_0.9430955.jpg,little blue heron,skunk,American alligator,magpie,water ouzel,skunk,black grouse,skunk,skunk,water ouzel,terrapin,magpie,terrapin,magpie,American alligator,American alligator,American alligator,American alligator,magpie,black stork,American alligator,American alligator,American black bear,skunk,American alligator,bustard,terrapin,skunk 
n01641577\0.007784_salt shaker _ grasshopper_0.71995014.jpg,tree frog,barracouta,vase,isopod,tree frog,banded gecko,vase,hoopskirt,tree frog,overskirt,isopod,tree frog,vase,saltshaker,hoopskirt,hoopskirt,frilled lizard,isopod,isopod,breastplate,tailed frog,military uniform,military uniform,overskirt,cuirass,military uniform,bearskin,salt shaker 
n01641577\0.007800_chameleon _ chameleon_0.8575112.jpg,green mamba,green mamba,bullfrog,bullfrog,bullfrog,green mamba,green mamba,bullfrog,green mamba,bee eater,bullfrog,bullfrog,green mamba,green mamba,green mamba,bullfrog,common iguana,green mamba,bullfrog,bee eater,green mamba,hornbill,bald eagle,bittern,bald eagle,bald eagle,lorikeet,chameleon 
n01641577\0.008049_sea lion _ canoe_0.5928638.jpg,sea lion,lakeside,African crocodile,terrapin,terrapin,African crocodile,African crocodile,breakwater,lakeside,sea lion,lakeside,sea lion,terrapin,lakeside,gar,platypus,coho,platypus,platypus,lakeside,grey whale,platypus,leatherback turtle,terrapin,platypus,sea lion,terrapin,sea lion 
n01641577\0.008322_leafhopper _ leafhopper_0.44189477.jpg,pick,leafhopper,bullfrog,leafhopper,cicada,pick,electric ray,dumbbell,Band Aid,screw,tree frog,night snake,switch,Band Aid,screw,switch,nail,nail,trilobite,switch,screwdriver,puck,switch,electric ray,screw,jellyfish,tree frog,leafhopper 
n01641577\0.009044_pufferfish _ pufferfish_0.90622.jpg,conch,stinkhorn,tailed frog,bullfrog,tailed frog,puffer,custard apple,loggerhead,custard apple,stinkhorn,tailed frog,custard apple,custard apple,custard apple,custard apple,honeycomb,puffer,custard apple,tailed frog,custard apple,hermit crab,hummingbird,leatherback turtle,conch,custard apple,pineapple,custard apple,pufferfish 
n01641577\0.009836_bell pepper _ bell pepper_0.84202665.jpg,bell pepper,bell pepper,acorn squash,bullfrog,bullfrog,bell pepper,acorn squash,spaghetti squash,spaghetti squash,cucumber,bullfrog,bullfrog,bell pepper,bell pepper,bell pepper,bell pepper,European gallinule,bell pepper,bell pepper,bell pepper,cucumber,cucumber,folding chair,zucchini,water snake,bell pepper,spaghetti squash,bell pepper 
n01641577\0.009987_umbrella _ umbrella_0.09080119.jpg,greenhouse,umbrella,maze,walking stick,maze,sundial,walking stick,worm fence,greenhouse,walking stick,grasshopper,greenhouse,walking stick,sundial,custard apple,cabbage butterfly,sundial,barrow,shovel,wolf spider,worm fence,mountain tent,worm fence,quill,greenhouse,worm fence,walking stick,umbrella 
n01641577\0.010104_parachute _ parachute_0.53690946.jpg,parachute,water snake,water snake,water snake,parachute,water snake,water snake,parachute,volcano,parachute,parachute,gar,water snake,parachute,gar,parachute,coral reef,coho,water snake,water snake,wing,water snake,alp,wing,alp,volcano,water snake,parachute 
n01641577\0.011534_skunk _ skunk_0.6256447.jpg,mink,ringlet,mink,mink,mink,mink,mink,mink,mink,mink,mink,mink,water snake,mink,sloth bear,sloth bear,snow leopard,wombat,mink,sloth bear,American black bear,sloth bear,sloth bear,American black bear,mink,sloth bear,wombat,skunk 
n01641577\0.012045_hermit crab _ hermit crab_0.9994905.jpg,hermit crab,hermit crab,hermit crab,rock crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,rock crab,hermit crab,hermit crab,hermit crab,hermit crab,dung beetle,hermit crab,hermit crab,hermit crab,cockroach,hermit crab 
n01641577\0.012344_cottontail rabbit _ cottontail rabbit_0.7796209.jpg,weasel,pencil box,platypus,mink,platypus,platypus,guinea pig,otter,platypus,weasel,guinea pig,platypus,weasel,platypus,squirrel monkey,mongoose,black-footed ferret,pencil box,pencil box,weasel,polecat,agama,flatworm,weasel,tench,weasel,mink,cottontail rabbit 
n01641577\0.013352_American alligator _ American alligator_0.98465455.jpg,American alligator,American alligator,American alligator,American alligator,American alligator,American alligator,American alligator,little blue heron,American alligator,American alligator,American alligator,American alligator,platypus,American alligator,American alligator,American alligator,American alligator,platypus,terrapin,American alligator,American alligator,American alligator,American alligator,American alligator,beaver,American alligator,coho,American alligator 
n01641577\0.013816_mongoose _ mongoose_0.8707351.jpg,African crocodile,African crocodile,mongoose,bullfrog,wood rabbit,African crocodile,mongoose,partridge,hyena,hare,ruffed grouse,mongoose,mongoose,bullfrog,African crocodile,African crocodile,warthog,hyena,mongoose,African crocodile,ruffed grouse,African crocodile,African crocodile,African crocodile,African crocodile,African crocodile,common iguana,mongoose 
n01641577\0.014179_green iguana _ revolver_0.92072487.jpg,rifle,rifle,rock python,gar,rock python,tench,tench,rifle,rock python,tench,rock python,barracouta,rock python,rock python,rifle,rifle,rifle,rifle,tench,gar,alp,rifle,stone wall,rifle,rifle,rifle,rifle,green iguana 
n01641577\0.015716_American alligator _ American alligator_0.9686031.jpg,American alligator,African crocodile,African crocodile,African crocodile,common iguana,African crocodile,African crocodile,African crocodile,African crocodile,terrapin,African crocodile,African crocodile,terrapin,terrapin,American alligator,American alligator,American alligator,African crocodile,African crocodile,American alligator,American alligator,African crocodile,African crocodile,American alligator,African crocodile,American alligator,American alligator,American alligator 
n01641577\0.015833_snail _ snail_0.7948703.jpg,drumstick,plunger,tailed frog,gar,barracouta,axolotl,plunger,plunger,axolotl,thunder snake,bolete,fiddler crab,alligator lizard,banded gecko,croquet ball,earthstar,tench,bolete,bolete,fiddler crab,croquet ball,croquet ball,drumstick,walking stick,drumstick,rugby ball,thunder snake,snail 
n01641577\0.016559_green iguana _ green iguana_0.60634637.jpg,common iguana,common iguana,tench,tench,tench,Indian elephant,window screen,tench,ashcan,tench,tailed frog,terrapin,chiton,strainer,common iguana,tench,rock crab,rock crab,window screen,chiton,Lakeland terrier,armadillo,window screen,window screen,common iguana,common iguana,terrapin,green iguana 
n01641577\0.017159_parachute _ parachute_0.6809239.jpg,parachute,parachute,water snake,tailed frog,tailed frog,wing,water snake,wing,parachute,water snake,parachute,water snake,bullfrog,bullfrog,parachute,geyser,wing,wing,parachute,wing,platypus,wing,geyser,wing,wing,wing,goldfish,parachute 
n01641577\0.017737_syringe _ syringe_0.9742109.jpg,rock crab,armadillo,tailed frog,tailed frog,tailed frog,weasel,tailed frog,tailed frog,weasel,syringe,tailed frog,tailed frog,rock crab,tailed frog,rock crab,slug,rock crab,mousetrap,syringe,syringe,Dungeness crab,armadillo,barn spider,barn spider,polecat,hen,rule,syringe 
n01641577\0.017805_Chihuahua _ Chihuahua_0.5617339.jpg,armadillo,bee,common newt,common newt,common newt,window screen,window screen,window screen,Dungeness crab,miniature pinscher,cicada,marmoset,squirrel monkey,loggerhead,miniature pinscher,miniature pinscher,squirrel monkey,window screen,common iguana,marmoset,common iguana,cicada,miniature pinscher,rhinoceros beetle,banded gecko,window screen,cockroach,Chihuahua 
n01641577\0.018209_cockroach _ cockroach_0.80508095.jpg,isopod,isopod,isopod,tailed frog,axolotl,isopod,isopod,isopod,isopod,electric ray,electric ray,rock crab,electric ray,tailed frog,ant,electric ray,electric ray,stingray,isopod,isopod,isopod,steel drum,shield,electric ray,honeycomb,flatworm,cockroach,cockroach 
n01641577\0.021161_syringe _ rhinoceros beetle_0.831997.jpg,shower cap,oxygen mask,tailed frog,custard apple,bolete,nipple,nipple,custard apple,African chameleon,hermit crab,bullfrog,tailed frog,hermit crab,tailed frog,head cabbage,shower cap,custard apple,squirrel monkey,loggerhead,bonnet,bonnet,ocarina,diaper,custard apple,diaper,shower cap,oxygen mask,syringe 
n01641577\0.021879_cockroach _ cockroach_0.86319476.jpg,isopod,isopod,axolotl,tailed frog,axolotl,isopod,isopod,isopod,isopod,electric ray,electric ray,rock crab,electric ray,tailed frog,ant,electric ray,electric ray,stingray,isopod,isopod,isopod,steel drum,shield,electric ray,honeycomb,flatworm,cockroach,cockroach 
n01641577\0.022062_wheelbarrow _ wheelbarrow_0.8713994.jpg,great white shark,stingray,stingray,water snake,water snake,water snake,stingray,jellyfish,water snake,stingray,stingray,stingray,water snake,water snake,stingray,stingray,stingray,stingray,stingray,stingray,water snake,stingray,sea lion,hammerhead,stingray,stingray,stingray,wheelbarrow 
n01641577\0.023184_shipwreck _ shipwreck_0.75423545.jpg,sturgeon,gar,king crab,king crab,gar,gar,gar,gar,gar,gar,gar,platypus,gar,gar,platypus,gar,sturgeon,sturgeon,platypus,common newt,sturgeon,platypus,platypus,platypus,half track,gar,gar,shipwreck 
n01641577\0.024398_oystercatcher _ oystercatcher_0.72440726.jpg,oystercatcher,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,bullfrog,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,dowitcher,red-backed sandpiper,bullfrog,otter,red-backed sandpiper,dowitcher,red-backed sandpiper,red-backed sandpiper,water ouzel,water ouzel,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,redshank,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,red-backed sandpiper,oystercatcher 
n01641577\0.026942_crayfish _ crayfish_0.94510376.jpg,scorpion,crayfish,tailed frog,crayfish,tailed frog,crayfish,crayfish,spotted salamander,crayfish,tailed frog,crayfish,crayfish,crayfish,crayfish,American lobster,scorpion,crayfish,crayfish,crayfish,crayfish,crayfish,assault rifle,hen-of-the-woods,cockroach,scorpion,crayfish,crayfish,crayfish 
n01641577\0.027074_green iguana _ green iguana_0.7959861.jpg,platypus,whiptail,whiptail,tailed frog,water ouzel,tailed frog,American alligator,American alligator,American alligator,whiptail,rock python,water ouzel,alligator lizard,American alligator,common newt,black grouse,frilled lizard,platypus,mink,whiptail,valley,mink,African chameleon,platypus,platypus,African chameleon,pot,green iguana 
n01641577\0.038341_American robin _ weevil_0.5200538.jpg,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,bittern,limpkin,bittern,bittern,bittern,bittern,bittern,American robin 
n01641577\0.038738_agama _ newt_0.7465035.jpg,common newt,common newt,tailed frog,agama,American chameleon,common newt,common newt,common newt,common newt,common newt,eft,common newt,tailed frog,tailed frog,common newt,common newt,banded gecko,banded gecko,common newt,common newt,common newt,banded gecko,banded gecko,common newt,common newt,common newt,tailed frog,agama 
n01641577\0.042695_hermit crab _ hermit crab_0.6065801.jpg,alligator lizard,king crab,fiddler crab,tailed frog,tailed frog,scorpion,alligator lizard,king crab,African chameleon,alligator lizard,alligator lizard,fiddler crab,crayfish,tailed frog,fiddler crab,alligator lizard,loggerhead,fiddler crab,hermit crab,alligator lizard,hermit crab,hermit crab,hermit crab,alligator lizard,knot,hermit crab,hermit crab,hermit crab 
n01641577\0.044716_chameleon _ chameleon_0.8826139.jpg,mantis,African chameleon,tailed frog,tree frog,tailed frog,tree frog,tailed frog,tree frog,African chameleon,tailed frog,tree frog,tailed frog,tree frog,frilled lizard,African chameleon,African chameleon,African chameleon,African chameleon,tree frog,king crab,king crab,green mamba,axolotl,green mamba,African chameleon,African chameleon,common iguana,chameleon 
n01641577\0.045491_chameleon _ chameleon_0.8470547.jpg,green lizard,green lizard,green lizard,green lizard,tree frog,African chameleon,bullfrog,green mamba,bullfrog,green mamba,green lizard,bullfrog,bullfrog,bullfrog,water snake,African chameleon,bullfrog,green mamba,green lizard,ant,water snake,mantis,green mamba,American chameleon,African chameleon,green mamba,tailed frog,chameleon 
n01641577\0.047058_hermit crab _ harvestman_0.77789456.jpg,hermit crab,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,tailed frog,cockroach,cockroach,weevil,leafhopper,tailed frog,zucchini,terrapin,hermit crab 
n01641577\0.049559_hermit crab _ hermit crab_0.40228117.jpg,Komodo dragon,window screen,window screen,bullfrog,window screen,box turtle,window screen,custard apple,barn spider,hermit crab,cicada,tailed frog,tailed frog,terrapin,common iguana,common iguana,common iguana,common iguana,tailed frog,common iguana,garden spider,armadillo,hare,barn spider,common iguana,peacock,terrapin,hermit crab 
n01641577\0.050990_armadillo _ duck_0.43673676.jpg,hen,box turtle,bullfrog,bullfrog,bullfrog,terrapin,bullfrog,bullfrog,bullfrog,limpkin,bullfrog,tick,partridge,limpkin,ruffed grouse,terrapin,ruffed grouse,ruffed grouse,limpkin,snail,mongoose,marmot,wood rabbit,box turtle,marmot,marmot,hen,armadillo 
n01641577\0.051728_American alligator _ American alligator_0.84195954.jpg,American alligator,bittern,terrapin,African crocodile,African crocodile,redshank,water snake,redshank,water ouzel,African crocodile,American alligator,African crocodile,American alligator,American alligator,redshank,redshank,beaver,beaver,American alligator,American alligator,African crocodile,beaver,beaver,beaver,platypus,terrapin,beaver,American alligator 
n01669191\0.000276_balance beam _ balance beam_0.96379316.jpg,crossword puzzle,solar dish,rock crab,ice lolly,hermit crab,balance beam,yurt,balance beam,yurt,ice lolly,ice lolly,ice lolly,ice lolly,rock crab,marimba,balance beam,balance beam,punching bag,ice lolly,hermit crab,spatula,cleaver,yurt,screwdriver,bow,hair spray,balance beam,balance beam 
n01669191\0.000376_submarine _ limousine_0.6723967.jpg,tray,tray,tank,terrapin,electric ray,mousetrap,harmonica,pool table,pool table,trailer truck,dung beetle,tank,aircraft carrier,hard disc,platypus,airship,CD player,laptop,radio,puck,stingray,scabbard,modem,ant,fountain pen,modem,assault rifle,submarine 
n01669191\0.000680_drumstick _ drumstick_0.35189122.jpg,hammer,rule,paddle,drumstick,street sign,paddle,crane,drumstick,paddle,drumstick,pole,pole,rubber eraser,breakwater,pole,pole,matchstick,rule,hammer,pole,drumstick,pole,jean,knot,drumstick,knot,paddle,drumstick 
n01669191\0.000691_cottontail rabbit _ cottontail rabbit_0.89495623.jpg,chimpanzee,porcupine,lynx,armadillo,wood rabbit,orangutan,wombat,guenon,wallaby,marmoset,armadillo,wild boar,box turtle,wombat,window screen,cougar,bustard,Madagascar cat,wombat,lynx,window screen,window screen,chainlink fence,window screen,porcupine,chainlink fence,strainer,cottontail rabbit 
n01669191\0.000742_fox squirrel _ fox squirrel_0.27179155.jpg,sturgeon,king crab,king crab,king crab,Dungeness crab,platypus,platypus,platypus,tench,wire-haired fox terrier,platypus,Dungeness crab,Dungeness crab,rock crab,king crab,maillot tank suit,sturgeon,red-breasted merganser,American lobster,racket,sturgeon,sturgeon,grey whale,English foxhound,English foxhound,muzzle,German shepherd,fox squirrel 
n01669191\0.001055_marmot _ marmot_0.7444441.jpg,maze,marmot,ptarmigan,wood rabbit,ruffed grouse,marmot,maze,wood rabbit,dung beetle,quail,dung beetle,marmot,armadillo,ruffed grouse,echidna,armadillo,wood rabbit,echidna,marmot,marmot,wood rabbit,ruffed grouse,geyser,wood rabbit,wood rabbit,wood rabbit,lakeside,marmot 
n01669191\0.001291_marmot _ pug_0.94009304.jpg,polecat,wood rabbit,wood rabbit,wood rabbit,marmot,marmot,marmot,polecat,mongoose,marmot,dung beetle,marmot,marmot,kit fox,marmot,marmot,marmot,wood rabbit,polecat,wood rabbit,wood rabbit,marmot,common iguana,snail,cannon,Komodo dragon,hermit crab,marmot 
n01669191\0.001471_cottontail rabbit _ cottontail rabbit_0.6736265.jpg,hare,hare,black stork,hare,wood rabbit,hare,hare,hare,hare,red fox,red fox,hare,hare,red fox,hare,hare,hare,hare,hare,hare,red fox,dhole,hare,hare,leafhopper,water snake,hare,cottontail rabbit 
n01669191\0.001497_armadillo _ armadillo_0.776747.jpg,radio telescope,jellyfish,armadillo,armadillo,echidna,thatch,volcano,armadillo,volcano,baseball,baseball,sea urchin,hay,dung beetle,armadillo,leatherback turtle,armadillo,sea urchin,armadillo,armadillo,seashore,breakwater,seashore,armadillo,seashore,sandbar,terrapin,armadillo 
n01669191\0.002008_junco _ junco_0.3833289.jpg,plane,otter,mousetrap,washbasin,wombat,washbasin,mongoose,otter,mink,washbasin,otter,washbasin,ladle,ladle,washbasin,tub,tub,tub,sea lion,sea lion,otter,plane,plane,plane,plane,cannon,ladle,junco 
n01669191\0.002078_baboon _ unicycle_0.7228384.jpg,dung beetle,sandbar,echidna,armadillo,echidna,breakwater,sandbar,sea urchin,dung beetle,marmot,armadillo,armadillo,dung beetle,dung beetle,thatch,armadillo,manhole cover,dung beetle,armadillo,echidna,manhole cover,brass,sandbar,armadillo,Loafer,doormat,cockroach,baboon 
n01669191\0.002113_white-headed capuchin _ white-headed capuchin_0.6835553.jpg,guillotine,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,swing,guillotine,swing,swing,swing,tub,go-kart,park bench,Bernese mountain dog,sliding door,golfcart,swing,white-headed capuchin 
n01669191\0.002330_cowboy boot _ baseball player_0.36410502.jpg,car mirror,bighorn,sea lion,totem pole,totem pole,Arabian camel,stretcher,military uniform,rifle,military uniform,lawn mower,cowboy hat,sandal,totem pole,military uniform,cowboy boot,cowboy boot,totem pole,cannon,military uniform,plow,sandal,fly,military uniform,scabbard,scabbard,terrapin,cowboy boot 
n01669191\0.002553_rhinoceros beetle _ rhinoceros beetle_0.99310935.jpg,rhinoceros beetle,rhinoceros beetle,rhinoceros beetle,bee,rhinoceros beetle,cockroach,snail,rhinoceros beetle,cockroach,buckeye,rhinoceros beetle,rhinoceros beetle,cockroach,acorn,acorn,acorn,rhinoceros beetle,rhinoceros beetle,rhinoceros beetle,rhinoceros beetle,rhinoceros beetle,snail,rhinoceros beetle,rhinoceros beetle,wallaby,rhinoceros beetle,bee,rhinoceros beetle 
n01669191\0.002682_manhole cover _ manhole cover_0.72066677.jpg,trilobite,screw,loggerhead,chiton,acorn,loggerhead,loggerhead,loggerhead,box turtle,mud turtle,loggerhead,terrapin,box turtle,box turtle,trilobite,leatherback turtle,loggerhead,loggerhead,chiton,loggerhead,chiton,trilobite,loggerhead,dung beetle,trilobite,trilobite,box turtle,manhole cover 
n01669191\0.002987_porcupine _ pufferfish_0.96503985.jpg,dung beetle,dung beetle,echidna,echidna,echidna,echidna,dung beetle,buckeye,echidna,hermit crab,echidna,hermit crab,silky terrier,dung beetle,tick,tick,echidna,beaver,dung beetle,snail,loggerhead,tick,tick,echidna,tick,tick,snail,porcupine 
n01669191\0.003276_marmot _ marmot_0.78367597.jpg,African crocodile,armadillo,lakeside,wood rabbit,mongoose,African crocodile,marmot,hyena,lakeside,marmot,lakeside,lakeside,lakeside,mongoose,diamondback,African crocodile,diamondback,Chesapeake Bay retriever,African crocodile,wood rabbit,wood rabbit,warthog,redshank,African crocodile,hyena,stone wall,American egret,marmot 
n01669191\0.003340_sundial _ sundial_0.8554446.jpg,armadillo,pole,echidna,echidna,armadillo,lakeside,unicycle,trailer truck,mobile home,alligator lizard,box turtle,echidna,dung beetle,echidna,sundial,lakeside,slug,lakeside,pole,armadillo,echidna,breakwater,sundial,sandbar,missile,sandbar,tricycle,sundial 
n01669191\0.003474_sleeping bag _ sleeping bag_0.587738.jpg,quilt,quilt,hoopskirt,box turtle,box turtle,gown,hoopskirt,quilt,quilt,gown,mud turtle,gown,shower curtain,theater curtain,plastic bag,mosquito net,cloak,hoopskirt,leatherback turtle,quilt,Gila monster,doormat,box turtle,prayer rug,plastic bag,plastic bag,theater curtain,sleeping bag 
n01669191\0.003647_cottontail rabbit _ cottontail rabbit_0.87457263.jpg,quail,diamondback,echidna,wood rabbit,echidna,quail,wood rabbit,bustard,quail,quail,echidna,quail,quail,quail,Komodo dragon,Gila monster,quail,ruffed grouse,African crocodile,quail,whiptail,diamondback,quail,limpkin,diamondback,Komodo dragon,diamondback,cottontail rabbit 
n01669191\0.003967_pufferfish _ pufferfish_0.5993986.jpg,armadillo,mongoose,dung beetle,hermit crab,hermit crab,hermit crab,mongoose,conch,mongoose,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,hermit crab,dung beetle,mongoose,hermit crab,echidna,hermit crab,hermit crab,hermit crab,hermit crab,dung beetle,hermit crab,hermit crab,echidna,pufferfish 
n01669191\0.004164_American bullfrog _ American bullfrog_0.7666056.jpg,water snake,water snake,fiddler crab,valley,water snake,badger,water snake,water snake,valley,water snake,albatross,water snake,terrapin,water snake,water snake,water snake,spider web,spider web,spider web,terrapin,Madagascar cat,water snake,otter,English springer,water snake,American alligator,water snake,American bullfrog 
n01669191\0.004302_mongoose _ mongoose_0.5783528.jpg,dhole,partridge,polecat,armadillo,warthog,kite,bison,polecat,marmot,coucal,wood rabbit,partridge,partridge,hen,ruffed grouse,mongoose,beaver,mongoose,red fox,wood rabbit,mongoose,dhole,wood rabbit,coucal,marmot,Australian terrier,cock,mongoose 
n01669191\0.004310_centipede _ crayfish_0.3145844.jpg,jersey,swing,terrapin,ringneck snake,vine snake,tench,bathing cap,bathing cap,mountain bike,hatchet,terrapin,hatchet,boa constrictor,hatchet,tench,tench,jersey,jersey,jersey,hatchet,jersey,tench,jersey,hatchet,swing,tench,bathing cap,centipede 
n01669191\0.004682_mongoose _ tricycle_0.5241226.jpg,sea lion,wallaby,terrapin,box turtle,terrapin,unicycle,hook,barrow,barrow,snail,sea lion,quail,wood rabbit,quail,rain barrel,polecat,Siamese cat,mousetrap,echidna,quail,polecat,Siamese cat,sea lion,sea lion,black-footed ferret,sea lion,Indian cobra,mongoose 
n01669191\0.004996_hair dryer _ hair dryer_0.6297562.jpg,hand blower,ice lolly,terrapin,armadillo,terrapin,ice lolly,armadillo,potter's wheel,ice lolly,dugong,paintbrush,rain barrel,washer,loggerhead,hair spray,sunscreen,laptop,laptop,bathtub,seat belt,seat belt,punching bag,hair spray,hand blower,hand blower,hand blower,rain barrel,hair dryer 
n01669191\0.006322_mushroom _ American bullfrog_0.91481674.jpg,common newt,mud turtle,slug,mud turtle,mud turtle,platypus,box turtle,buckeye,mushroom,mud turtle,mud turtle,earthstar,mud turtle,box turtle,mud turtle,thunder snake,box turtle,stinkhorn,bullfrog,bolete,ringlet,mud turtle,spaghetti squash,platypus,thunder snake,water snake,box turtle,mushroom 
n01669191\0.006741_acorn _ acorn_0.95990115.jpg,acorn,slug,dung beetle,acorn,acorn,dung beetle,acorn,dung beetle,dung beetle,acorn,dung beetle,acorn,acorn,acorn,dung beetle,dung beetle,acorn,acorn,slug,acorn,dung beetle,dung beetle,marmot,acorn,mortar,doormat,acorn,acorn 
n01669191\0.006946_acorn _ acorn_0.51143146.jpg,pick,dung beetle,Band Aid,dung beetle,dung beetle,hermit crab,dung beetle,dung beetle,dung beetle,pick,leatherback turtle,dung beetle,pick,Band Aid,dung beetle,pick,pick,pick,Band Aid,dung beetle,Band Aid,Band Aid,dung beetle,Band Aid,ping-pong ball,dung beetle,terrapin,acorn 
n01669191\0.007599_American alligator _ American alligator_0.895017.jpg,platypus,loggerhead,loggerhead,terrapin,loggerhead,platypus,loggerhead,loggerhead,terrapin,platypus,terrapin,platypus,limpkin,bittern,water snake,loggerhead,loggerhead,water snake,isopod,loggerhead,loggerhead,platypus,isopod,dowitcher,water snake,water snake,loggerhead,American alligator 
n01669191\0.007653_red fox _ armadillo_0.4384385.jpg,badger,armadillo,armadillo,armadillo,hermit crab,wombat,armadillo,tailed frog,hermit crab,grey fox,grey fox,grey fox,grey fox,grey fox,armadillo,armadillo,armadillo,grey fox,grey fox,wood rabbit,fox squirrel,Gila monster,fox squirrel,platypus,ptarmigan,ptarmigan,red fox,red fox 
n01669191\0.007936_American alligator _ American alligator_0.89128655.jpg,water snake,American alligator,water snake,water snake,water snake,water snake,water snake,water snake,water snake,water snake,terrapin,beaver,hippopotamus,beaver,water snake,water snake,water snake,water snake,water snake,water snake,beaver,shower curtain,water snake,water snake,water snake,water snake,vase,American alligator 
n01669191\0.008706_custard apple _ custard apple_0.6340562.jpg,cowboy hat,seat belt,box turtle,box turtle,box turtle,seat belt,seat belt,box turtle,seat belt,box turtle,box turtle,box turtle,box turtle,box turtle,seat belt,car mirror,box turtle,seat belt,seat belt,box turtle,box turtle,steel drum,rotisserie,spatula,limousine,Dutch oven,terrapin,custard apple 
n01669191\0.009091_hermit crab _ hermit crab_0.6748909.jpg,dung beetle,dung beetle,hermit crab,hermit crab,dung beetle,trilobite,mongoose,hermit crab,dung beetle,snail,hermit crab,snail,hermit crab,marmot,hermit crab,hermit crab,dung beetle,hermit crab,hermit crab,snail,hermit crab,dung beetle,snail,dung beetle,mongoose,hermit crab,hermit crab,hermit crab 
