Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,True Label
n01843383\sketch_41.JPEG,96,96,93,96,93,98,n01843383
n01843383\sketch_42.JPEG,545,545,111,319,673,755,n01843383
n01843383\sketch_43.JPEG,111,772,600,111,566,566,n01843383
n01843383\sketch_44.JPEG,145,512,749,512,749,818,n01843383
n01843383\sketch_45.JPEG,549,499,93,34,21,755,n01843383
n01843383\sketch_46.JPEG,21,93,93,749,93,755,n01843383
n01843383\sketch_47.JPEG,93,93,93,21,93,21,n01843383
n01843383\sketch_48.JPEG,96,96,772,650,650,650,n01843383
n01843383\sketch_49.JPEG,111,418,111,549,111,512,n01843383
n01843383\sketch_5.JPEG,96,96,93,146,96,117,n01843383
n01843383\sketch_6.JPEG,917,93,365,863,917,823,n01843383
n01843383\sketch_7.JPEG,787,93,879,456,815,24,n01843383
n01843383\sketch_8.JPEG,549,549,549,549,549,512,n01843383
n01843383\sketch_9.JPEG,93,144,93,749,7,616,n01843383
n01847000\sketch_0.JPEG,138,86,86,85,563,512,n01847000
n01847000\sketch_1.JPEG,591,111,591,111,868,488,n01847000
n01847000\sketch_10.JPEG,134,97,99,135,135,456,n01847000
n01847000\sketch_11.JPEG,99,86,86,512,82,135,n01847000
n01847000\sketch_12.JPEG,99,97,137,99,99,618,n01847000
n01847000\sketch_13.JPEG,644,644,644,644,644,644,n01847000
n01847000\sketch_14.JPEG,36,164,99,936,618,254,n01847000
n01847000\sketch_15.JPEG,549,135,135,846,846,679,n01847000
n01847000\sketch_16.JPEG,216,367,254,254,826,220,n01847000
n01847000\sketch_17.JPEG,549,591,549,549,610,488,n01847000
n01847000\sketch_18.JPEG,549,916,902,600,111,549,n01847000
n01847000\sketch_19.JPEG,356,739,99,83,23,584,n01847000
n01847000\sketch_2.JPEG,549,549,549,111,549,679,n01847000
n01847000\sketch_20.JPEG,137,142,434,164,8,876,n01847000
n01847000\sketch_21.JPEG,133,23,93,146,135,21,n01847000
n01847000\sketch_22.JPEG,129,129,98,512,512,512,n01847000
n01847000\sketch_23.JPEG,111,600,512,176,310,902,n01847000
n01847000\sketch_24.JPEG,84,86,86,85,93,93,n01847000
n01847000\sketch_25.JPEG,98,135,99,135,135,600,n01847000
n01847000\sketch_26.JPEG,549,916,623,319,82,584,n01847000
n01847000\sketch_27.JPEG,111,966,971,126,971,512,n01847000
n01847000\sketch_28.JPEG,549,618,767,749,111,488,n01847000
n01847000\sketch_29.JPEG,591,51,111,749,591,488,n01847000
n01847000\sketch_3.JPEG,549,549,549,549,549,584,n01847000
n01847000\sketch_30.JPEG,23,82,86,512,563,584,n01847000
n01847000\sketch_31.JPEG,591,111,917,111,868,488,n01847000
n01847000\sketch_32.JPEG,549,917,549,111,549,679,n01847000
n01847000\sketch_33.JPEG,549,549,549,549,549,584,n01847000
n01847000\sketch_34.JPEG,112,111,855,514,600,725,n01847000
n01847000\sketch_35.JPEG,131,131,131,142,131,725,n01847000
n01847000\sketch_36.JPEG,549,902,618,111,135,584,n01847000
n01847000\sketch_37.JPEG,349,103,134,725,356,584,n01847000
n01847000\sketch_38.JPEG,133,133,133,749,133,135,n01847000
n01847000\sketch_39.JPEG,23,361,131,176,176,21,n01847000
n01847000\sketch_4.JPEG,112,111,112,514,112,725,n01847000
n01847000\sketch_40.JPEG,134,137,99,135,135,132,n01847000
n01847000\sketch_41.JPEG,99,86,86,85,82,93,n01847000
n01847000\sketch_42.JPEG,99,97,137,99,99,618,n01847000
n01847000\sketch_43.JPEG,644,644,644,644,644,644,n01847000
n01847000\sketch_44.JPEG,36,164,163,111,618,202,n01847000
n01847000\sketch_45.JPEG,549,135,135,846,111,679,n01847000
n01847000\sketch_46.JPEG,633,611,254,254,826,568,n01847000
n01847000\sketch_47.JPEG,549,591,549,549,610,488,n01847000
n01847000\sketch_48.JPEG,549,680,772,549,111,828,n01847000
n01847000\sketch_49.JPEG,356,593,99,83,23,828,n01847000
n01847000\sketch_5.JPEG,135,142,131,142,131,725,n01847000
n01847000\sketch_50.JPEG,137,142,434,164,8,876,n01847000
n01847000\sketch_6.JPEG,549,902,618,111,549,566,n01847000
n01847000\sketch_7.JPEG,349,32,134,725,134,444,n01847000
n01847000\sketch_8.JPEG,133,133,133,725,133,512,n01847000
n01847000\sketch_9.JPEG,176,361,23,9,176,616,n01847000
n01855032\sketch_0.JPEG,131,131,141,141,319,319,n01855032
n01855032\sketch_1.JPEG,98,135,98,98,144,445,n01855032
n01855032\sketch_10.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_11.JPEG,18,16,98,98,19,21,n01855032
n01855032\sketch_12.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_13.JPEG,98,98,98,98,99,823,n01855032
n01855032\sketch_14.JPEG,82,98,98,138,82,584,n01855032
n01855032\sketch_15.JPEG,98,921,98,85,98,142,n01855032
n01855032\sketch_16.JPEG,549,916,549,111,549,549,n01855032
n01855032\sketch_17.JPEG,749,749,43,312,111,512,n01855032
n01855032\sketch_18.JPEG,98,98,98,98,144,360,n01855032
n01855032\sketch_19.JPEG,98,606,82,82,98,80,n01855032
n01855032\sketch_2.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_20.JPEG,721,606,606,514,399,772,n01855032
n01855032\sketch_21.JPEG,99,98,98,82,98,142,n01855032
n01855032\sketch_22.JPEG,50,50,970,147,972,795,n01855032
n01855032\sketch_23.JPEG,99,808,98,82,98,142,n01855032
n01855032\sketch_24.JPEG,82,346,23,749,921,537,n01855032
n01855032\sketch_25.JPEG,917,917,917,917,144,616,n01855032
n01855032\sketch_26.JPEG,82,82,82,80,82,80,n01855032
n01855032\sketch_27.JPEG,131,131,131,131,129,725,n01855032
n01855032\sketch_28.JPEG,131,138,141,141,141,319,n01855032
n01855032\sketch_29.JPEG,98,135,98,131,144,445,n01855032
n01855032\sketch_3.JPEG,710,792,710,792,917,840,n01855032
n01855032\sketch_30.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_31.JPEG,710,921,710,921,611,639,n01855032
n01855032\sketch_32.JPEG,395,395,473,473,596,618,n01855032
n01855032\sketch_33.JPEG,135,98,98,135,98,749,n01855032
n01855032\sketch_34.JPEG,93,8,93,21,16,840,n01855032
n01855032\sketch_35.JPEG,917,711,312,749,917,535,n01855032
n01855032\sketch_36.JPEG,98,98,98,98,98,141,n01855032
n01855032\sketch_37.JPEG,82,36,562,83,82,562,n01855032
n01855032\sketch_38.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_39.JPEG,18,95,98,98,98,21,n01855032
n01855032\sketch_4.JPEG,395,596,473,473,499,473,n01855032
n01855032\sketch_40.JPEG,98,98,98,98,98,98,n01855032
n01855032\sketch_41.JPEG,18,98,98,98,18,823,n01855032
n01855032\sketch_42.JPEG,98,98,98,98,82,710,n01855032
n01855032\sketch_43.JPEG,98,98,98,82,98,142,n01855032
n01855032\sketch_44.JPEG,549,916,549,111,549,679,n01855032
n01855032\sketch_45.JPEG,749,749,749,749,111,512,n01855032
n01855032\sketch_46.JPEG,98,98,340,98,616,337,n01855032
n01855032\sketch_47.JPEG,98,36,82,82,98,124,n01855032
n01855032\sketch_48.JPEG,831,606,606,514,399,772,n01855032
n01855032\sketch_49.JPEG,98,98,98,138,98,142,n01855032
n01855032\sketch_5.JPEG,135,98,98,135,98,82,n01855032
n01855032\sketch_50.JPEG,50,50,970,50,972,895,n01855032
n01855032\sketch_6.JPEG,134,83,93,21,16,840,n01855032
n01855032\sketch_7.JPEG,566,711,312,302,917,535,n01855032
n01855032\sketch_8.JPEG,98,98,98,98,98,137,n01855032
n01855032\sketch_9.JPEG,82,82,562,469,82,425,n01855032
n01855672\sketch_0.JPEG,111,111,600,111,111,600,n01855672
n01855672\sketch_1.JPEG,111,111,111,725,111,968,n01855672
n01855672\sketch_10.JPEG,549,111,111,111,549,549,n01855672
n01855672\sketch_11.JPEG,111,725,111,111,111,488,n01855672
n01855672\sketch_12.JPEG,111,512,512,111,600,600,n01855672
n01855672\sketch_13.JPEG,549,111,111,111,111,549,n01855672
n01855672\sketch_14.JPEG,7,355,445,198,99,616,n01855672
n01855672\sketch_15.JPEG,549,916,916,600,549,591,n01855672
n01855672\sketch_16.JPEG,340,512,340,749,72,512,n01855672
n01855672\sketch_17.JPEG,135,600,82,600,132,535,n01855672
n01855672\sketch_18.JPEG,99,99,99,99,99,99,n01855672
n01855672\sketch_19.JPEG,111,111,83,111,132,572,n01855672
n01855672\sketch_2.JPEG,99,99,99,99,99,505,n01855672
n01855672\sketch_20.JPEG,549,549,600,600,725,679,n01855672
n01855672\sketch_21.JPEG,549,600,600,111,549,772,n01855672
n01855672\sketch_22.JPEG,99,99,99,99,99,71,n01855672
n01855672\sketch_23.JPEG,99,83,99,83,99,83,n01855672
n01855672\sketch_24.JPEG,549,916,772,549,549,772,n01855672
n01855672\sketch_25.JPEG,135,111,99,111,132,535,n01855672
n01855672\sketch_26.JPEG,24,363,24,24,24,24,n01855672
n01855672\sketch_27.JPEG,549,600,86,111,132,512,n01855672
n01855672\sketch_28.JPEG,134,99,99,134,921,80,n01855672
n01855672\sketch_29.JPEG,549,916,714,600,549,600,n01855672
n01855672\sketch_3.JPEG,549,600,600,600,512,679,n01855672
n01855672\sketch_30.JPEG,99,99,99,80,81,8,n01855672
n01855672\sketch_31.JPEG,618,725,86,725,7,135,n01855672
n01855672\sketch_32.JPEG,549,966,600,600,600,823,n01855672
n01855672\sketch_33.JPEG,83,83,83,80,83,725,n01855672
n01855672\sketch_34.JPEG,111,111,83,111,111,679,n01855672
n01855672\sketch_35.JPEG,86,138,138,80,99,765,n01855672
n01855672\sketch_36.JPEG,776,111,618,725,758,600,n01855672
n01855672\sketch_37.JPEG,791,7,791,840,144,968,n01855672
n01855672\sketch_38.JPEG,24,43,24,87,24,24,n01855672
n01855672\sketch_39.JPEG,138,83,99,138,99,902,n01855672
n01855672\sketch_4.JPEG,299,144,144,340,144,445,n01855672
n01855672\sketch_40.JPEG,646,916,600,549,549,714,n01855672
n01855672\sketch_41.JPEG,549,111,82,111,8,505,n01855672
n01855672\sketch_42.JPEG,134,144,134,99,134,99,n01855672
n01855672\sketch_43.JPEG,646,966,138,600,82,650,n01855672
n01855672\sketch_44.JPEG,99,131,144,99,99,574,n01855672
n01855672\sketch_45.JPEG,618,618,618,836,135,679,n01855672
n01855672\sketch_46.JPEG,549,600,340,600,99,516,n01855672
n01855672\sketch_47.JPEG,549,111,144,111,111,535,n01855672
n01855672\sketch_48.JPEG,99,99,99,99,99,99,n01855672
n01855672\sketch_49.JPEG,749,82,144,134,131,968,n01855672
n01855672\sketch_5.JPEG,111,111,135,111,135,883,n01855672
n01855672\sketch_6.JPEG,99,354,354,83,164,349,n01855672
n01855672\sketch_7.JPEG,966,966,572,572,140,512,n01855672
n01855672\sketch_8.JPEG,111,111,111,600,111,600,n01855672
n01855672\sketch_9.JPEG,111,111,135,111,135,679,n01855672
n01860187\sketch_0.JPEG,144,749,868,584,868,144,n01860187
n01860187\sketch_1.JPEG,111,111,566,600,600,566,n01860187
n01860187\sketch_10.JPEG,100,100,100,100,100,100,n01860187
n01860187\sketch_11.JPEG,725,63,600,725,618,828,n01860187
n01860187\sketch_12.JPEG,285,63,100,285,144,349,n01860187
n01860187\sketch_13.JPEG,99,99,362,181,356,111,n01860187
n01860187\sketch_14.JPEG,610,916,772,111,443,828,n01860187
n01860187\sketch_15.JPEG,100,100,100,99,100,100,n01860187
n01860187\sketch_16.JPEG,111,390,100,600,100,111,n01860187
n01860187\sketch_17.JPEG,549,111,111,549,549,600,n01860187
n01860187\sketch_18.JPEG,144,144,144,840,144,160,n01860187
n01860187\sketch_19.JPEG,549,916,916,111,549,549,n01860187
n01860187\sketch_2.JPEG,100,100,100,100,100,725,n01860187
n01860187\sketch_20.JPEG,354,9,100,562,101,562,n01860187
n01860187\sketch_21.JPEG,316,606,968,600,100,774,n01860187
n01860187\sketch_22.JPEG,600,600,749,673,749,512,n01860187
n01860187\sketch_23.JPEG,134,600,749,749,868,361,n01860187
n01860187\sketch_24.JPEG,111,111,600,600,600,566,n01860187
n01860187\sketch_25.JPEG,100,100,100,100,100,100,n01860187
n01860187\sketch_26.JPEG,69,68,83,80,600,528,n01860187
n01860187\sketch_27.JPEG,131,99,138,80,131,331,n01860187
n01860187\sketch_28.JPEG,306,711,100,960,144,802,n01860187
n01860187\sketch_29.JPEG,111,110,110,340,110,71,n01860187
n01860187\sketch_3.JPEG,490,600,68,80,490,67,n01860187
n01860187\sketch_30.JPEG,620,922,868,922,549,549,n01860187
n01860187\sketch_31.JPEG,100,128,80,128,26,361,n01860187
n01860187\sketch_32.JPEG,100,134,100,80,100,100,n01860187
n01860187\sketch_33.JPEG,100,100,100,100,100,81,n01860187
n01860187\sketch_34.JPEG,725,63,600,316,618,729,n01860187
n01860187\sketch_35.JPEG,100,100,100,600,100,181,n01860187
n01860187\sketch_36.JPEG,99,99,131,99,356,181,n01860187
n01860187\sketch_37.JPEG,966,916,917,78,529,770,n01860187
n01860187\sketch_38.JPEG,100,100,100,100,100,100,n01860187
n01860187\sketch_39.JPEG,111,111,100,111,111,111,n01860187
n01860187\sketch_4.JPEG,131,99,138,144,131,331,n01860187
n01860187\sketch_40.JPEG,549,111,111,549,549,446,n01860187
n01860187\sketch_41.JPEG,144,144,144,840,144,616,n01860187
n01860187\sketch_42.JPEG,549,916,600,600,549,549,n01860187
n01860187\sketch_43.JPEG,100,354,50,562,50,562,n01860187
n01860187\sketch_44.JPEG,835,606,100,600,111,774,n01860187
n01860187\sketch_45.JPEG,636,512,749,518,749,512,n01860187
n01860187\sketch_46.JPEG,749,512,868,512,700,749,n01860187
n01860187\sketch_47.JPEG,600,589,600,584,506,584,n01860187
n01860187\sketch_48.JPEG,840,916,600,111,111,69,n01860187
n01860187\sketch_49.JPEG,111,68,111,490,111,24,n01860187
n01860187\sketch_5.JPEG,306,144,100,960,144,802,n01860187
n01860187\sketch_50.JPEG,600,596,331,111,600,512,n01860187
n01860187\sketch_6.JPEG,600,110,110,340,110,22,n01860187
n01860187\sketch_7.JPEG,620,922,922,922,549,922,n01860187
n01860187\sketch_8.JPEG,111,128,80,128,26,361,n01860187
n01860187\sketch_9.JPEG,100,100,100,100,100,80,n01860187
n01871265\sketch_0.JPEG,549,111,111,111,749,968,n01871265
n01871265\sketch_1.JPEG,101,101,101,385,385,164,n01871265
n01871265\sketch_10.JPEG,921,344,292,921,921,968,n01871265
n01871265\sketch_11.JPEG,386,386,386,386,101,434,n01871265
n01871265\sketch_12.JPEG,386,386,101,840,101,749,n01871265
n01871265\sketch_13.JPEG,605,626,605,643,605,691,n01871265
n01871265\sketch_14.JPEG,604,101,515,51,101,680,n01871265
n01871265\sketch_15.JPEG,101,101,101,101,101,101,n01871265
n01871265\sketch_16.JPEG,126,386,851,69,126,921,n01871265
n01871265\sketch_17.JPEG,386,51,385,385,101,101,n01871265
n01871265\sketch_18.JPEG,386,386,386,126,112,616,n01871265
n01871265\sketch_19.JPEG,549,549,111,556,456,556,n01871265
n01871265\sketch_2.JPEG,101,101,51,490,101,490,n01871265
n01871265\sketch_20.JPEG,584,111,111,584,111,584,n01871265
n01871265\sketch_21.JPEG,610,917,917,610,917,535,n01871265
n01871265\sketch_22.JPEG,386,386,386,386,386,117,n01871265
n01871265\sketch_23.JPEG,772,769,69,458,769,549,n01871265
n01871265\sketch_24.JPEG,101,101,101,101,101,101,n01871265
n01871265\sketch_25.JPEG,386,386,386,51,386,51,n01871265
n01871265\sketch_26.JPEG,610,917,917,610,51,917,n01871265
n01871265\sketch_27.JPEG,386,514,386,461,691,473,n01871265
n01871265\sketch_28.JPEG,386,386,386,386,386,112,n01871265
n01871265\sketch_29.JPEG,385,385,385,385,385,616,n01871265
n01871265\sketch_3.JPEG,917,917,917,610,340,868,n01871265
n01871265\sketch_30.JPEG,549,111,111,111,749,968,n01871265
n01871265\sketch_31.JPEG,101,101,101,385,101,246,n01871265
n01871265\sketch_32.JPEG,51,101,183,490,101,490,n01871265
n01871265\sketch_33.JPEG,917,917,917,610,917,451,n01871265
n01871265\sketch_34.JPEG,386,386,101,386,101,921,n01871265
n01871265\sketch_35.JPEG,117,111,367,69,385,783,n01871265
n01871265\sketch_36.JPEG,549,549,769,446,596,549,n01871265
n01871265\sketch_37.JPEG,545,600,879,600,600,921,n01871265
n01871265\sketch_38.JPEG,385,385,385,385,385,385,n01871265
n01871265\sketch_39.JPEG,386,386,101,386,101,386,n01871265
n01871265\sketch_4.JPEG,386,386,101,386,101,921,n01871265
n01871265\sketch_40.JPEG,921,921,292,340,921,968,n01871265
n01871265\sketch_41.JPEG,386,386,386,386,101,457,n01871265
n01871265\sketch_42.JPEG,386,386,386,840,101,840,n01871265
n01871265\sketch_43.JPEG,605,386,605,643,605,524,n01871265
n01871265\sketch_44.JPEG,749,101,5,568,101,503,n01871265
n01871265\sketch_45.JPEG,101,101,101,101,101,101,n01871265
n01871265\sketch_46.JPEG,386,386,851,126,126,921,n01871265
n01871265\sketch_47.JPEG,101,51,385,385,101,101,n01871265
n01871265\sketch_48.JPEG,386,386,101,126,386,616,n01871265
n01871265\sketch_49.JPEG,549,549,111,549,456,556,n01871265
n01871265\sketch_5.JPEG,117,385,367,69,246,111,n01871265
n01871265\sketch_50.JPEG,584,111,111,584,691,584,n01871265
n01871265\sketch_6.JPEG,549,549,549,446,596,549,n01871265
n01871265\sketch_7.JPEG,600,600,879,600,494,700,n01871265
n01871265\sketch_8.JPEG,385,385,385,385,385,385,n01871265
n01871265\sketch_9.JPEG,386,101,101,101,101,386,n01871265
n01872401\sketch_0.JPEG,334,102,334,334,102,334,n01872401
n01872401\sketch_1.JPEG,102,102,102,102,102,24,n01872401
n01872401\sketch_10.JPEG,103,808,102,749,102,840,n01872401
n01872401\sketch_11.JPEG,549,916,429,111,549,868,n01872401
n01872401\sketch_12.JPEG,549,793,102,549,611,868,n01872401
n01872401\sketch_13.JPEG,102,102,102,749,102,102,n01872401
n01872401\sketch_14.JPEG,549,549,111,556,574,556,n01872401
n01872401\sketch_15.JPEG,334,102,102,102,102,755,n01872401
n01872401\sketch_16.JPEG,636,636,748,636,636,840,n01872401
n01872401\sketch_17.JPEG,334,102,102,334,108,677,n01872401
n01872401\sketch_18.JPEG,334,102,334,334,334,360,n01872401
n01872401\sketch_19.JPEG,334,102,334,102,334,334,n01872401
n01872401\sketch_2.JPEG,623,114,855,21,111,936,n01872401
n01872401\sketch_20.JPEG,337,102,337,337,337,337,n01872401
n01872401\sketch_21.JPEG,749,749,749,749,340,840,n01872401
n01872401\sketch_22.JPEG,464,572,846,584,572,840,n01872401
n01872401\sketch_23.JPEG,102,102,102,102,102,749,n01872401
n01872401\sketch_24.JPEG,499,828,111,749,111,488,n01872401
n01872401\sketch_25.JPEG,102,102,102,334,102,102,n01872401
n01872401\sketch_26.JPEG,749,828,828,828,828,326,n01872401
n01872401\sketch_27.JPEG,991,112,51,584,112,584,n01872401
n01872401\sketch_28.JPEG,334,363,362,334,334,298,n01872401
n01872401\sketch_29.JPEG,464,868,643,787,772,584,n01872401
n01872401\sketch_3.JPEG,102,102,108,749,108,749,n01872401
n01872401\sketch_30.JPEG,396,396,729,794,396,549,n01872401
n01872401\sketch_31.JPEG,584,658,658,793,5,490,n01872401
n01872401\sketch_32.JPEG,334,102,102,334,334,334,n01872401
n01872401\sketch_33.JPEG,102,102,102,102,102,749,n01872401
n01872401\sketch_34.JPEG,79,772,749,429,340,549,n01872401
n01872401\sketch_35.JPEG,650,828,828,828,5,729,n01872401
n01872401\sketch_36.JPEG,749,588,793,840,334,840,n01872401
n01872401\sketch_37.JPEG,916,456,616,73,616,868,n01872401
n01872401\sketch_38.JPEG,549,591,490,584,916,968,n01872401
n01872401\sketch_39.JPEG,334,102,102,334,102,102,n01872401
n01872401\sketch_4.JPEG,650,135,549,749,102,883,n01872401
n01872401\sketch_40.JPEG,102,334,334,334,334,233,n01872401
n01872401\sketch_41.JPEG,102,102,102,21,102,828,n01872401
n01872401\sketch_42.JPEG,892,611,677,600,51,703,n01872401
n01872401\sketch_43.JPEG,102,102,396,749,126,749,n01872401
n01872401\sketch_44.JPEG,772,828,643,643,643,117,n01872401
n01872401\sketch_45.JPEG,828,916,828,917,650,512,n01872401
n01872401\sketch_46.JPEG,334,334,102,334,102,490,n01872401
n01872401\sketch_47.JPEG,828,749,600,749,102,811,n01872401
n01872401\sketch_48.JPEG,334,102,334,334,102,334,n01872401
n01872401\sketch_49.JPEG,334,102,102,102,102,24,n01872401
n01872401\sketch_5.JPEG,334,102,102,824,102,307,n01872401
n01872401\sketch_50.JPEG,135,135,117,749,133,936,n01872401
n01872401\sketch_6.JPEG,102,828,102,749,102,840,n01872401
n01872401\sketch_7.JPEG,749,749,334,749,337,840,n01872401
n01872401\sketch_8.JPEG,334,102,102,24,126,307,n01872401
n01872401\sketch_9.JPEG,102,135,549,772,549,921,n01872401
n01873310\sketch_0.JPEG,696,103,111,589,103,512,n01873310
n01873310\sketch_1.JPEG,892,892,409,409,535,535,n01873310
n01873310\sketch_10.JPEG,749,623,828,828,902,828,n01873310
n01873310\sketch_11.JPEG,103,103,103,103,103,103,n01873310
n01873310\sketch_12.JPEG,103,103,103,114,103,584,n01873310
n01873310\sketch_13.JPEG,772,103,618,793,600,563,n01873310
n01873310\sketch_14.JPEG,5,103,103,512,512,828,n01873310
n01873310\sketch_15.JPEG,549,549,549,549,549,549,n01873310
n01873310\sketch_16.JPEG,103,103,103,103,103,589,n01873310
n01873310\sketch_17.JPEG,391,363,395,584,107,405,n01873310
n01873310\sketch_18.JPEG,103,103,337,103,674,24,n01873310
n01873310\sketch_19.JPEG,103,103,103,103,103,103,n01873310
n01873310\sketch_2.JPEG,549,499,623,549,596,488,n01873310
n01873310\sketch_20.JPEG,103,103,103,749,177,840,n01873310
n01873310\sketch_21.JPEG,106,362,357,103,357,198,n01873310
n01873310\sketch_22.JPEG,549,549,549,111,549,512,n01873310
n01873310\sketch_23.JPEG,103,103,103,34,103,307,n01873310
n01873310\sketch_24.JPEG,103,103,902,600,103,499,n01873310
n01873310\sketch_25.JPEG,103,103,103,103,314,749,n01873310
n01873310\sketch_26.JPEG,549,549,549,611,549,488,n01873310
n01873310\sketch_27.JPEG,549,600,556,600,549,600,n01873310
n01873310\sketch_28.JPEG,50,103,111,103,103,488,n01873310
n01873310\sketch_29.JPEG,103,103,103,584,103,124,n01873310
n01873310\sketch_3.JPEG,549,111,111,600,823,679,n01873310
n01873310\sketch_30.JPEG,103,103,103,34,103,584,n01873310
n01873310\sketch_31.JPEG,112,103,103,749,314,512,n01873310
n01873310\sketch_32.JPEG,916,916,916,549,596,549,n01873310
n01873310\sketch_33.JPEG,549,916,600,549,549,512,n01873310
n01873310\sketch_34.JPEG,112,103,51,51,51,51,n01873310
n01873310\sketch_35.JPEG,47,47,111,38,512,828,n01873310
n01873310\sketch_36.JPEG,464,103,696,700,103,285,n01873310
n01873310\sketch_37.JPEG,111,111,111,111,111,111,n01873310
n01873310\sketch_38.JPEG,635,725,691,729,691,691,n01873310
n01873310\sketch_39.JPEG,111,111,111,600,111,451,n01873310
n01873310\sketch_4.JPEG,549,709,643,611,596,535,n01873310
n01873310\sketch_40.JPEG,111,111,111,749,111,584,n01873310
n01873310\sketch_41.JPEG,111,111,111,749,111,584,n01873310
n01873310\sketch_42.JPEG,610,111,111,111,610,111,n01873310
n01873310\sketch_43.JPEG,750,750,850,363,112,431,n01873310
n01873310\sketch_44.JPEG,103,103,103,103,103,793,n01873310
n01873310\sketch_45.JPEG,611,499,51,456,549,549,n01873310
n01873310\sketch_46.JPEG,773,461,146,846,725,883,n01873310
n01873310\sketch_47.JPEG,549,549,591,549,749,488,n01873310
n01873310\sketch_48.JPEG,103,103,103,51,314,126,n01873310
n01873310\sketch_49.JPEG,103,103,111,308,103,512,n01873310
n01873310\sketch_5.JPEG,111,111,111,111,488,488,n01873310
n01873310\sketch_50.JPEG,892,916,409,409,535,409,n01873310
n01873310\sketch_6.JPEG,111,111,111,111,111,902,n01873310
n01873310\sketch_7.JPEG,549,916,729,600,549,591,n01873310
n01873310\sketch_8.JPEG,549,556,600,650,481,902,n01873310
n01873310\sketch_9.JPEG,488,902,111,488,488,488,n01873310
n01877812\sketch_0.JPEG,611,611,250,51,610,968,n01877812
n01877812\sketch_1.JPEG,128,354,916,381,916,99,n01877812
n01877812\sketch_10.JPEG,279,331,331,284,331,512,n01877812
n01877812\sketch_11.JPEG,226,199,187,199,199,269,n01877812
n01877812\sketch_12.JPEG,285,285,331,285,331,445,n01877812
n01877812\sketch_13.JPEG,170,285,174,285,177,172,n01877812
n01877812\sketch_14.JPEG,104,104,104,285,104,850,n01877812
n01877812\sketch_15.JPEG,916,600,916,111,549,549,n01877812
n01877812\sketch_16.JPEG,280,49,307,119,307,307,n01877812
n01877812\sketch_17.JPEG,280,104,104,280,272,272,n01877812
n01877812\sketch_18.JPEG,331,331,331,188,275,198,n01877812
n01877812\sketch_19.JPEG,104,330,104,287,104,285,n01877812
n01877812\sketch_2.JPEG,916,623,921,111,285,623,n01877812
n01877812\sketch_20.JPEG,111,916,916,111,549,600,n01877812
n01877812\sketch_21.JPEG,591,50,111,549,591,584,n01877812
n01877812\sketch_22.JPEG,104,331,280,331,280,43,n01877812
n01877812\sketch_23.JPEG,279,331,331,268,331,618,n01877812
n01877812\sketch_24.JPEG,104,331,104,285,104,708,n01877812
n01877812\sketch_25.JPEG,549,111,111,600,111,600,n01877812
n01877812\sketch_26.JPEG,104,285,104,285,104,281,n01877812
n01877812\sketch_27.JPEG,549,111,111,111,549,600,n01877812
n01877812\sketch_28.JPEG,104,104,331,330,285,272,n01877812
n01877812\sketch_29.JPEG,346,51,51,343,51,190,n01877812
n01877812\sketch_3.JPEG,282,285,292,340,251,725,n01877812
n01877812\sketch_30.JPEG,251,246,251,51,251,584,n01877812
n01877812\sketch_31.JPEG,285,275,285,514,285,505,n01877812
n01877812\sketch_32.JPEG,549,600,600,600,600,512,n01877812
n01877812\sketch_33.JPEG,285,285,285,285,285,591,n01877812
n01877812\sketch_34.JPEG,549,600,600,600,549,512,n01877812
n01877812\sketch_35.JPEG,549,916,111,111,549,921,n01877812
n01877812\sketch_36.JPEG,701,701,512,21,73,21,n01877812
n01877812\sketch_37.JPEG,921,921,549,749,749,728,n01877812
n01877812\sketch_38.JPEG,111,600,111,111,111,600,n01877812
n01877812\sketch_39.JPEG,549,916,549,549,251,488,n01877812
n01877812\sketch_4.JPEG,356,276,170,177,188,170,n01877812
n01877812\sketch_40.JPEG,600,178,172,171,178,89,n01877812
n01877812\sketch_41.JPEG,566,600,600,566,600,917,n01877812
n01877812\sketch_42.JPEG,177,51,331,172,51,51,n01877812
n01877812\sketch_43.JPEG,549,549,111,549,111,512,n01877812
n01877812\sketch_44.JPEG,280,285,298,51,272,51,n01877812
n01877812\sketch_45.JPEG,611,611,250,921,921,968,n01877812
n01877812\sketch_46.JPEG,128,916,71,381,916,99,n01877812
n01877812\sketch_47.JPEG,916,623,921,111,921,623,n01877812
n01877812\sketch_48.JPEG,282,916,292,340,917,917,n01877812
n01877812\sketch_49.JPEG,177,276,170,268,170,170,n01877812
n01877812\sketch_5.JPEG,331,285,285,763,285,902,n01877812
n01877812\sketch_50.JPEG,363,285,285,43,285,902,n01877812
n01877812\sketch_6.JPEG,279,104,104,284,272,178,n01877812
n01877812\sketch_7.JPEG,549,111,285,749,72,512,n01877812
n01877812\sketch_8.JPEG,104,104,104,355,331,331,n01877812
n01877812\sketch_9.JPEG,591,549,111,749,921,721,n01877812
n01882714\sketch_0.JPEG,868,868,126,279,996,691,n01882714
